Gender,gender,age,Salary,salary,decision
Female,0,51,140500,140.5,1
Male,1,38,71000,71,0
Female,0,52,21000,21,1
Male,1,34,43000,43,0
Male,1,48,106500,106.5,1
Female,0,29,28000,28,0
Female,0,59,102500,102.5,1
Female,0,29,47000,47,0
Female,0,50,49500,49.5,0
Male,1,38,75500,75.5,0
Female,0,36,61500,61.5,0
Female,0,28,59000,59,0
Male,1,43,59500,59.5,0
Male,1,57,74000,74,1
Male,1,36,109500,109.5,0
Female,0,49,139500,139.5,1
Female,0,34,52500,52.5,0
Female,0,47,141500,141.5,1
Female,0,35,65000,65,0
Male,1,50,107500,107.5,1
Female,0,41,73500,73.5,0
Male,1,50,90500,90.5,1
Female,0,56,145500,145.5,1
Female,0,35,57000,57,0
Male,1,40,78000,78,0
Female,0,49,34500,34.5,1
Male,1,25,90000,90,0
Male,1,36,33000,33,0
Female,0,48,138000,138,1
Male,1,42,54000,54,0
Male,1,51,76500,76.5,1
Male,1,49,65000,65,0
Male,1,46,80500,80.5,0
Male,1,27,20000,20,0
Male,1,39,52500,52.5,0
Female,0,35,97000,97,1
Male,1,47,34000,34,1
Female,0,52,38000,38,1
Female,0,49,30500,30.5,1
Female,0,36,26500,26.5,0
Male,1,26,80500,80.5,0
Female,0,38,34500,34.5,0
Female,0,48,50500,50.5,1
Male,1,32,100000,100,1
Female,0,40,75000,75,0
Female,0,42,81500,81.5,0
Male,1,41,62500,62.5,0
Female,0,24,83500,83.5,0
Male,1,52,150000,150,1
Female,0,48,133500,133.5,1
Male,1,41,52000,52,0
Male,1,19,83500,83.5,0
Male,1,29,148000,148,1
Female,0,58,101000,101,1
Female,0,36,48500,48.5,0
Male,1,63,85500,85.5,1
Female,0,35,44000,44,0
Male,1,22,81000,81,0
Female,0,24,32000,32,0
Female,0,39,71000,71,0
Female,0,31,15000,15,0
Female,0,60,77500,77.5,1
Male,1,32,59500,59.5,0
Female,0,46,23500,23.5,1
Female,0,39,79000,79,0
Male,1,39,60500,60.5,0
Male,1,42,54000,54,0
Female,0,28,87000,87,0
Female,0,45,77500,77.5,0
Male,1,48,33000,33,1
Female,0,31,71000,71,0
Male,1,33,121500,121.5,1
Female,0,27,84000,84,0
Male,1,25,56500,56.5,0
Female,0,30,48500,48.5,0
Female,0,24,67500,67.5,0
Female,0,54,136500,136.5,0
Female,0,53,104000,104,1
Male,1,38,59000,59,0
Female,0,47,23500,23.5,0
Female,0,28,138500,138.5,1
Female,0,48,134000,134,1
Female,0,44,73500,73.5,0
